service_id,name,category,type,description,target_group,income_requirement,cost_to_user,access_type,location_id,availability,phone,email,website,keywords,notes,needs_referral,last_checked,last_verified
SRV001,Bijstandsuitkering,Onkosten en dagelijks leven,Regeling,Mensen zonder inkomen of met een laag inkomen kunnen een bijstandsuitkering aanvragen. De uitkering zorgt ervoor dat het inkomen hoog genoeg is om van te leven. De gemeente helpt ook met het zoeken naar werk en het verbeteren van de financiële situatie.,Inwoners van Leiden of Leiderdorp van 18 jaar of ouder zonder voldoende inkomen of vermogen,Geen inkomen of onvoldoende inkomen om van te leven; niet in aanmerking voor andere uitkering,Gratis,online,LOC001,Ma-Vr 09:00-17:00 op afspraak,14 071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/uitkering-en-inkomen/bijstandsuitkering/bijstand-en-werk-vinden/,"bijstand, uitkering, geen inkomen, laag inkomen, levensonderhoud, WWB, participatiewet, werk, inkomen, financiële hulp",DigiD vereist voor online aanvraag. Uitkering stopt wanneer inkomen toereikend is.,false,2026-03-22T22:44:41.159Z,12-03-2026
SRV002,Bijzondere bijstand,Onkosten en dagelijks leven,Regeling,"Bijzondere bijstand helpt inwoners die noodzakelijke en onverwachte kosten zelf niet kunnen betalen, zoals juridische hulp, verhuiskosten of inrichting van de woning. De bijstand is bedoeld als laatste mogelijkheid en het bedrag hangt af van inkomen, vermogen en bijzondere kosten.",Inwoners van Leiden en Leiderdorp met onverwachte noodzakelijke kosten die zij niet zelf kunnen betalen,Inkomen en vermogen onvoldoende om kosten te dragen,Gratis,online,LOC001,Ma-Vr 09:00-17:00 op afspraak,14 071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/uitkering-en-inkomen/bijstandsuitkering/bijzondere-bijstand/,"bijzondere bijstand, onverwachte kosten, juridische hulp, verhuiskosten, inrichting, noodkosten, noodzakelijke kosten, laag inkomen, financiële hulp",Kosten mogen nog niet gemaakt zijn bij aanvraag. Bel 14 071 voor vragen.,false,2026-03-22T22:44:41.159Z,12-03-2026
SRV003,Individuele inkomenstoeslag,Onkosten en dagelijks leven,Regeling,"Inwoners die al minimaal vijf jaar een laag inkomen hebben kunnen één keer per jaar een geldbedrag aanvragen. Dit bedrag is in 2025 tussen € 449 en € 617, afhankelijk van de persoonlijke situatie. De toeslag is bedoeld voor mensen die weinig kans hebben hun inkomen te verhogen.",Inwoners van Leiden of Leiderdorp van 23 jaar tot AOW-leeftijd met minimaal 5 jaar laag inkomen,Inkomen maximaal 100% van de geldende bijstandsnorm gedurende minimaal 5 jaar; vermogen niet te hoog,Gratis,online,LOC001,,14 071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/uitkering-en-inkomen/hulp-bij-laag-inkomen/individuele-inkomenstoeslag/,"inkomenstoeslag, langdurig laag inkomen, toeslag, jaarlijkse uitkering, armoede, bijstandsnorm, individuele toeslag","Aanvraagformulier ook per post: Afdeling Werk en Inkomen, Postbus 9102, 2300 PC Leiden. Bel 14 071 keuze 1 als u geen printer heeft.",false,2026-03-22T22:44:41.159Z,12-03-2026
SRV004,Zomerzwemabonnement,Onkosten en dagelijks leven,Regeling,Met het zomerzwemabonnement kunnen inwoners met een laag inkomen de hele zomer zwemmen in de buitenbaden van Zwembad De Zijl en Buitenbad De Vliet. Het abonnement geldt voor het hele gezin.,Inwoners van Leiden of Leiderdorp met laag inkomen en hun gezin,Laag inkomen; zie website voor precieze inkomensgrens,€15 per gezin per zomer,online,LOC001,Aanvragen tussen april en juli,14 071,,https://gemeente.leiden.nl/inwoners-en-ondernemers/uitkering-en-inkomen/hulp-bij-laag-inkomen/zwemabonnement-voor-de-zomer/,"zwemmen, zomer, abonnement, recreatie, laag inkomen, kinderen, gezin, buitenbad, De Zijl, De Vliet",Geldige legitimatie en pasfoto meenemen bij aanvragen.,false,2026-03-22T22:44:41.159Z,12-03-2026
SRV005,Leidse Laptoppers,"Onkosten en dagelijks leven, Studeren en werken",Regeling,"Jongere inwoners zonder geld voor een laptop kunnen gratis een refurbished laptop krijgen via een maatschappelijke organisatie in Leiden. De laptops zijn gecontroleerd en opgeknapt en bedoeld voor school, werk of studie.",Jongeren van 11 tot 30 jaar woonachtig in de regio Leiden zonder geld voor een laptop,Inkomen maximaal 130% van het bestaansminimum,Gratis,online,,,,,https://leidselaptoppers.nl/leidse-laptoppers-voor-jongeren/,"laptop, computer, studie, school, werk, jongeren, digitaal, refurbished, opleiding, armoede",Aanvragen kan via een maatschappelijke organisatie in Leiden of direct via het contactformulier op leidselaptoppers.nl.,false,2026-03-22T22:44:41.159Z,12-03-2026
SRV006,Menstruatieproducten Uitgiftepunten (MUP),Onkosten en dagelijks leven,Regeling,"Op Menstruatieproducten Uitgiftepunten (MUP's) kunnen inwoners gratis menstruatieproducten ophalen, zoals maandverband, tampons of menstruatiecups. Er zijn meerdere MUP's in de regio Leiden.",Alle inwoners die menstruatieproducten nodig hebben en deze niet kunnen betalen,Geen,Gratis,walkin,"LOC005, LOC006, LOC007, LOC009, LOC010, LOC011, LOC012, LOC013, LOC014, LOC015, LOC016, LOC017, LOC024",,,,https://www.armoedefonds.nl/wat-we-doen/projecten/menstruatieproducten-uitgifte-punt/,"menstruatie, tampons, maandverband, menstruatiecup, gratis producten, hygiëne, armoede, vrouwen, meisjes",Producten gratis ophalen.,false,2026-03-22T22:44:41.159Z,12-03-2026
SRV007,Regionaal Bureau Zelfstandigen (RBZ),"Onkosten en dagelijks leven, Studeren en werken",Regeling,"Het RBZ helpt zelfstandig ondernemers in Leiden en Leiderdorp met geldproblemen via de Bbz-uitkering (Besluit bijstandsverlening zelfstandigen). Ondernemers kunnen tijdelijk inkomenssuppletie of een renteloze lening krijgen om hun bedrijf op te starten, voort te zetten of te beëindigen.",Zelfstandig ondernemers (startend of gevestigd) woonachtig in Leiden of Leiderdorp met inkomen onder bijstandsniveau,Inkomen uit onderneming lager dan bijstandsniveau; geen ander inkomen hoger dan bijstandsniveau,Gratis (leningen zijn renteloos of rentedragend afhankelijk van type),phone,,Werkdagen tussen half 9 in de ochtend en 5 uur in de middag,010 433 96 00,,https://www.rotterdam.nl/financiele-ondersteuning-voor-ondernemers,"zzp, zelfstandige, ondernemer, bbz, bijstand zelfstandigen, startkapitaal, lening, inkomen ondernemer, faillissement, bedrijf","Gemeente Rotterdam regelt de RBZ voor Leiden en Leiderdorp. Bel het RBZ via 14 010. Minimaal 1225 uur per jaar (23,5 uur/week) voor eigen bedrijf vereist.",false,2026-03-22T22:44:41.159Z,12-03-2026
SRV008,Stichting Babyspullen,"Onkosten en dagelijks leven, Kinderen en opgroeien",Regeling,"Stichting Babyspullen geeft gratis babypakketten met kleding, verzorgingsproducten en beddengoed aan inwoners met een laag inkomen of geldzorgen. De aanvraag gaat via een hulpverlener. De stichting werkt samen met het Sociaal Wijkteam, de Voedselbank en verloskundigen.",Ouders of verzorgers met een laag inkomen of geldzorgen die een baby verwachten of hebben,Laag inkomen of aantoonbare geldzorgen,Gratis,referral_only,,,,info@stichtingbabyspullen.nl,https://stichtingbabyspullen.nl/hulpverleningsorganisaties,"baby, babyspullen, kleding, verzorging, beddengoed, laag inkomen, zwanger, pasgeboren, kraamperiode",Hulpverlener vraagt het pakket aan namens de inwoner. Niet rechtstreeks aanvragen.,true,2026-03-22T22:44:41.159Z,12-03-2026
SRV009,Stichting Urgente Noden Leiden (SUN),Onkosten en dagelijks leven,Regeling,"SUN Leiden helpt inwoners in acute financiële nood met giften (max. € 2.000), renteloze leningen (max. € 2.000 voor alleenstaanden of € 3.500 voor gezinnen) of supermarktbonnen. Aanvragen gaan altijd via erkende professionele hulpverleners in een noodgeval.","Inwoners van Leiden en aangrenzende gemeenten (Oegstgeest, Leiderdorp, Zoeterwoude, Voorschoten) in acute financiële nood",Inkomen wordt per geval beoordeeld samen met hulpverlener,Gratis,referral_only,,,071-5122337,aanvragen@sunleiden.nl,https://sunleiden.nl,"noodfonds, noodgeval, acute nood, lening zonder rente, gift, supermarktbon, boodschappenbon, schulden, crisis, financiële nood",Alleen via erkende professionele hulpverleners. Hulp kan zo nodig binnen 24 uur. Ma-Vr 09:00-12:00 telefonisch bereikbaar.,true,2026-03-22T22:44:41.159Z,12-03-2026
SRV010,Stichting Voedselbank Leiden,Onkosten en dagelijks leven,Ondersteuning,De Voedselbank helpt inwoners die niet genoeg geld hebben om eten te kopen. Inwoners kunnen wekelijks op een vaste dag een gratis voedselpakket ophalen bij een uitdeelpunt. Eén pakket voorziet een huishouden van 3 à 4 dagen eten.,Inwoners met inkomen dat voldoet aan de inkomenseisen van de Voedselbank,Inkomen conform actuele Voedselbank-eisen (elke 6 maanden herzien; zie website),Gratis,walkin,"LOC002, LOC003, LOC004",Woensdag en donderdag; zie website voor openingstijden per uitdeelpunt,071-2306910,klanten@voedselbankleiden.nl,https://voedselbankleiden.nl/ik-zoek-hulp/waaraan-moet-je-voldoen,"voedselbank, eten, boodschappen, voedselpakket, gratis eten, laag inkomen, honger, armoede, pakket ophalen","Meenemen bij eerste ophaalbeurt: geldig legitimatiebewijs, ingevuld aanmeldformulier, bankafschriften van de afgelopen 2 maanden (of inzage in bankapp), en 2 grote boodschappentassen of shoppers. Bij de eerste beurt ontvangen inwoners altijd een welkomstpakket.",false,2026-03-22T22:44:41.159Z,12-03-2026
